Latitude ,Longitude ,desirability ,connectedness ,population (rough)
41.90392031283341,-87.63141229300709,0.9,0.7,0.682
41.77895340563769,-87.6638448484402,0.4,0.4,0.409
41.89677417178116,-87.63594665706665,0.9,0.7,0.682
41.76836786586706,-87.62580935004172,0.4,0.5,0.500
41.86736766601225,-87.62740238294732,0.8,0.7,0.682
41.00836181944307,-87.6659090897442,0.6,0.5,0.500
41.88074455879221,-87.62769645951258,1.0,0.9,0.909
41.80468356005486,-87.6840649867607,0.5,0.5,0.500
41.88570342367616,-87.64177130414286,0.9,0.8,0.682
41.87818251886981,-87.62929566463735,1.0,0.9,0.909
41.87815275695708,-87.62759609756428,1.0,0.9,0.909
41.854514862029305,-87.67597409605341,0.6,0.5,0.545
41.8721079742148,-87.79160214979832,0.4,0.4,0.409
41.983504225254826,-87.65884028505945,0.7,0.6,0.591
41.99366426103332,-87.65920227948938,0.6,0.5,0.545
41.94370914853046,-87.67088394357924,0.7,0.5,0.591
41.87088639373906,-87.77678526925513,0.4,0.4,0.409
41.96792815152359,-87.71314203532829,0.5,0.6,0.500
41.891665201383724,-87.62802125739587,1.0,0.9,0.909
41.854130586664574,-87.70542795670059,0.5,0.5,0.500
41.88490437974896,-87.71652283291752,0.5,0.5,0.500
41.85375068701122,-87.73326365861335,0.4,0.4,0.409
41.982323370406654,-87.80889493503287,0.6,0.7,0.409
